Name,State,TLA,Altitude,Longitude,Latitude,WMO_site,BOM_site,POA,sam_created
Tuggeranong,ACT,TG,609.0,149.1,-35.4,94925,70339,,True
Badgerys Creek,NSW,BS,82.0,150.7,-33.9,94752,67108,,True
Ballina Airport,NSW,B1,2.0,153.6,-28.8,94596,58198,,True
Bankstown Airport,NSW,BT,9.0,150.0,-33.9,94765,66137,,True
Bathurst Airport,NSW,B2,745.0,149.6,-33.4,94729,63291,,True
Bega AWS,NSW,B3,42.0,149.9,-36.7,95931,69139,,True
Bombala AWS,NSW,B4,762.0,149.2,-36.9,94929,70328,,True
Casino Airport AWS,NSW,CI,22.0,153.1,-28.9,94573,58063,,True
Cessnock Airport AWS,NSW,CK,62.0,151.4,-32.8,95771,61260,,True
Condobolin Airport AWS,NSW,CD,194.0,147.2,-33.1,95708,50137,,True
Forbes Airport AWS,NSW,FS,231.0,147.9,-33.4,94715,65103,,True
Glen Innes Airport AWS,NSW,GS,1045.0,151.8,-29.7,94588,56243,,True
Gosford AWS,NSW,GO,20.0,151.3,-33.4,94782,61425,,True
Goulburn Airport,NSW,GB,641.0,149.7,-34.8,95716,70330,,True
Griffith Airport,NSW,GF,135.0,146.1,-34.3,95704,75041,,True
Mudgee Airport,NSW,MU,472.0,149.6,-32.6,94727,62101,,True
Penrith Lakes AWS,NSW,PN,25.0,150.7,-33.7,94763,67113,,True
Port Macquarie Airport,NSW,PM,5.0,152.9,-31.4,94786,60139,,True
Scone Airport,NSW,SC,223.0,150.8,-32.0,95758,61363,,True
Ulladulla AWS,NSW,UL,37.0,150.5,-35.4,94938,69138,,True
Walgett Airport,NSW,WL,134.0,148.1,-30.0,95715,52088,,True
Young Airport,NSW,YO,381.0,148.3,-34.3,94712,73138,,
Batchelor Airport,NT,B5,105.0,131.0,-13.1,94125,14272,,True
Pine Creek,NT,PC,43.0,131.2,-13.8,94131,14933,,True
Gove Airport,NT,GV,53.0,136.8,-12.3,94150,14508,,True
Jabiru Airport,NT,JA,28.0,132.9,-12.7,94137,14198,,True
Point Stuart,NT,PS,1.0,131.9,-12.2,94127,14254,,True
Victoria River Downs,NT,VI,90.0,131.0,-16.4,94232,14825,,True
Yulara Airport,NT,YU,492.0,131.0,-25.2,94462,15635,,True
Applethorpe,QLD,AP,873.0,152.0,-28.6,94553,41175,,True
Alva Beach,QLD,A1,8.0,147.5,-19.5,95296,33295,,True
Birdsville Airport,QLD,BV,48.0,139.4,-25.9,95482,38026,,True
Bundaberg Aero,QLD,B6,27.0,152.3,-24.9,94387,39128,,True
Camooweal Township,QLD,C1,231.0,138.1,-19.9,94255,37010,,True
Cooktown Airport,QLD,CT,9.0,145.2,-15.4,95283,31209,,
Coolangatta,QLD,CL,6.0,153.5,-28.2,94592,40717,,True
Emerald Airport,QLD,EM,190.0,148.2,-23.6,94363,35264,,True
Gympie,QLD,GY,65.0,152.6,-26.2,94566,40093,,True
Proserpine Airport,QLD,PP,25.0,148.5,-20.5,94365,33247,,True
Maroochydore Airport,QLD,MS,4.0,153.1,-26.6,94569,40861,,True
Coonawarra,SA,CW,58.0,140.8,-37.3,94817,26091,,
Edinburgh RAAF,SA,EB,20.0,138.6,-34.7,95676,23083,,True
Marree Aero,SA,M1,51.0,138.1,-29.7,95480,17126,,True
Moomba Airport,SA,MM,38.0,140.2,-28.1,95481,17123,,True
Naracoorte Aerodrome,SA,,50.0,140.7,-37.0,94820,26099,,
Nuriootpa Viticultral,SA,NU,276.0,139.0,-34.5,94681,23373,,True
Port Lincoln,SA,PL,8.0,135.9,-34.6,95661,18192,,True
Parawa (2nd Valley Forestry AWS),SA,PR,342.0,138.3,-35.6,94811,23875,,True
Strathalbyn Racecourse,SA,SN,58.0,138.9,-35.3,94814,24580,,True
Tarcoola Aero,SA,TC,124.0,134.6,-30.7,94655,16098,,True
Yunta Airstrip,SA,YT,300.0,139.6,-32.6,94684,20062,,
Cape Sorell,TAS,SO,20.0,145.2,-42.2,94974,97000,,True
Cressy Research Stn.,TAS,CY,150.0,147.1,-41.7,95969,91306,,True
Devonport Airport,TAS,DV,10.0,146.4,-41.2,95960,91126,,True
Flinders Island Airport,TAS,FI,10.0,148.0,-40.1,94980,99005,,True
Friendly Beaches,TAS,FB,56.0,148.3,-42.0,94987,92114,,True
Hartz Mountain (Raminea),TAS,HZ,830.0,146.8,-43.2,94977,94191,,True
Low Rocky Point,TAS,LP,35.0,145.5,-43.0,95961,97080,,True
Mount Wellington (Wellington Park),TAS,MW,1261.0,147.2,-42.9,95979,94087,,True
Ouse Fire Stn,TAS,OU,91.0,146.7,-42.5,94957,95048,,True
Sheffield School Farm,TAS,SF,295.0,146.3,-41.4,94955,91291,,True
Smithton Aerodrome,TAS,SM,9.0,145.1,-40.8,94953,91292,,True
Strahan Airport,TAS,SH,22.0,145.3,-42.2,94956,97072,,True
Tunnack Fire Stn,TAS,TN,462.0,147.5,-42.5,94960,94195,,True
Wynyard Airport,TAS,WD,12.0,145.7,-41.0,95957,91107,,True
Avalon Airport,VIC,AV,8.0,144.5,-38.0,94854,87113,,True
Bendigo Airport,VIC,B7,209.0,144.3,-36.7,94855,81123,,True
Lake Eildon,VIC,EN,238.0,145.8,-37.2,94882,88023,,
Frankston AWS,VIC,FR,6.0,145.1,-38.2,94871,86371,,True
